id,ax,ay,az,date_created,label,linx,liny,linz,meta_info,people_id,type_sensor
10581,3472,976,16512,"2018-10-19 17:13:10","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10582,3536,912,16528,"2018-10-19 17:13:10","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10583,3472,928,16464,"2018-10-19 17:13:11","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10584,3408,928,16576,"2018-10-19 17:13:11","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10585,3456,880,16528,"2018-10-19 17:13:12","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10586,3440,928,16512,"2018-10-19 17:13:12","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10587,3488,912,16544,"2018-10-19 17:13:13","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10588,3456,944,16512,"2018-10-19 17:13:13","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10589,3472,944,16512,"2018-10-19 17:13:14","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10590,3520,928,16512,"2018-10-19 17:13:14","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10591,3488,944,16512,"2018-10-19 17:13:15","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10592,3440,928,16528,"2018-10-19 17:13:15","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10593,3552,912,16512,"2018-10-19 17:13:16","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10594,3520,944,16528,"2018-10-19 17:13:16","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10595,3440,976,16512,"2018-10-19 17:13:17","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10596,3440,928,16512,"2018-10-19 17:13:17","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10597,3456,912,16512,"2018-10-19 17:13:18","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10598,3488,992,16512,"2018-10-19 17:13:18","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10599,3504,928,16528,"2018-10-19 17:13:19","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10600,3504,928,16480,"2018-10-19 17:13:19","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10601,3472,928,16512,"2018-10-19 17:13:21","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10602,3488,880,16528,"2018-10-19 17:13:21","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10603,3472,928,16432,"2018-10-19 17:13:22","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10604,3488,960,16512,"2018-10-19 17:13:22","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10605,3456,912,16528,"2018-10-19 17:13:23","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10606,3552,928,16528,"2018-10-19 17:13:23","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10607,3520,880,16512,"2018-10-19 17:13:24","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10608,3488,928,16512,"2018-10-19 17:13:24","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10609,3456,944,16560,"2018-10-19 17:13:25","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10610,3488,960,16528,"2018-10-19 17:13:25","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10611,3520,928,16528,"2018-10-19 17:13:26","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10612,3504,928,16512,"2018-10-19 17:13:26","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10613,3488,864,16544,"2018-10-19 17:13:27","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10614,3504,944,16512,"2018-10-19 17:13:27","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10615,3504,960,16512,"2018-10-19 17:13:28","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10616,3472,928,16448,"2018-10-19 17:13:28","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10617,3504,944,16528,"2018-10-19 17:13:29","work, talking, tired, angry",0,0,0,,nastya,accelerometer
10618,3584,976,16512,"2018-10-19 17:13:29","work, talking, tired, angry",0,0,0,,nastya,accelerometer
