id,date_created,label,meta_info,people_id,type_sensor,x,y,z
180,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1288,-4376,5602
181,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1246,-4383,5629
182,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1305,-4384,5607
183,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1601,-4958,5573
184,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1688,-5073,5612
185,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1701,-5083,5602
186,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1752,-5094,5684
187,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1696,-5136,5679
188,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,1695,-5110,5714
189,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,810,-3738,5834
190,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,810,-3660,5851
191,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,825,-3650,5801
192,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,798,-3637,5792
193,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,838,-3649,5800
194,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,861,-3651,5817
195,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,855,-3633,5804
196,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,863,-3645,5830
197,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,864,-3669,5799
198,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,857,-3648,5750
199,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,860,-3660,5799
200,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,832,-3663,5820
201,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,848,-3641,5812
202,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,850,-3633,5791
203,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,821,-3645,5761
204,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,827,-3618,5814
205,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,817,-3667,5837
206,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,812,-3660,5808
207,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,789,-3662,5855
208,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,744,-3704,5806
209,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,773,-3654,5814
210,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,736,-3635,5819
211,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,730,-3646,5856
212,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,721,-3630,5885
213,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,731,-3614,5875
214,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,671,-3661,5896
215,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,683,-3658,5957
216,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,631,-3639,5912
217,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,639,-3642,5990
218,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,606,-3636,5977
219,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,699,-3588,5941
220,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,692,-3613,5921
221,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,719,-3598,5887
222,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,767,-3608,5804
223,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,782,-3598,5850
224,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,778,-3580,5848
225,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,830,-3600,5839
226,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,861,-3600,5784
227,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,872,-3641,5804
228,2018-10-19,MagLaBeL,meta-meta,peopleID,magnetometer,906,-3611,5794
