id,ax,ay,az,date_created,label,linx,liny,linz,meta_info,people_id,type_sensor
209,0,1568,0,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
210,5056,704,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
211,5024,720,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
212,5088,784,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
213,5088,784,16016,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
214,4976,768,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
215,5024,752,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
216,4960,784,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
217,5040,784,16016,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
218,4272,832,16224,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
219,4240,848,16192,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
220,4160,800,16256,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
221,4256,832,16208,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
222,4304,816,16144,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
223,4384,800,16208,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
224,4480,816,16144,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
225,4560,768,16064,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
226,4544,800,16080,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
227,4512,864,16112,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
228,4416,832,16144,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
229,4480,784,16144,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
230,4400,816,16176,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
231,4368,800,16176,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
232,4368,800,16160,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
233,4400,736,16176,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
234,4256,720,16192,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
235,4096,752,16192,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
236,3952,864,16208,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
237,3744,944,16272,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
238,3552,768,16368,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
239,3488,816,16384,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
240,3280,864,16336,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
241,3152,800,16448,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
242,2896,832,16512,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
243,2592,848,16528,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
244,2336,848,16528,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
245,2096,784,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
246,1552,928,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
247,1264,992,16784,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
248,1808,992,16656,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
249,2432,688,16688,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
250,2512,896,16576,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
251,2816,848,16560,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
252,3168,848,16528,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
253,3504,816,16368,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
254,3808,880,16336,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
255,4256,880,16176,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
256,4352,736,16160,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
257,4528,688,16144,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
258,4640,832,16128,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
259,4736,816,16080,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
260,4800,864,16016,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
261,5072,720,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
262,5200,768,16000,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
263,5312,800,15872,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
264,5296,784,15920,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
265,5520,832,15840,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
266,5632,752,15792,2018-10-19,AccLaBeL,0,0,0,meta-meta,peopleID,accelerometer
