id,ax,ay,az,date_created,label,linx,liny,linz,meta_info,people_id,type_sensor
52521,2192,128,16208,"2018-10-23 18:44:51",60,0,0,0,,Rost2,accelerometer
52522,2208,64,16176,"2018-10-23 18:44:51",60,0,0,0,,Rost2,accelerometer
52523,2208,112,16176,"2018-10-23 18:44:51",60,0,0,0,,Rost2,accelerometer
52524,2128,112,16160,"2018-10-23 18:44:51",60,0,0,0,,Rost2,accelerometer
52525,2176,176,16144,"2018-10-23 18:44:52",60,0,0,0,,Rost2,accelerometer
52526,2160,144,16176,"2018-10-23 18:44:52",60,0,0,0,,Rost2,accelerometer
52527,2160,128,16256,"2018-10-23 18:44:52",60,0,0,0,,Rost2,accelerometer
52528,2112,160,16240,"2018-10-23 18:44:52",60,0,0,0,,Rost2,accelerometer
52529,2096,112,16208,"2018-10-23 18:44:52",60,0,0,0,,Rost2,accelerometer
52530,2144,160,16208,"2018-10-23 18:44:52",60,0,0,0,,Rost2,accelerometer
52531,2176,128,16192,"2018-10-23 18:44:52",60,0,0,0,,Rost2,accelerometer
52532,2192,96,16176,"2018-10-23 18:44:52",60,0,0,0,,Rost2,accelerometer
52533,2208,192,16208,"2018-10-23 18:44:52",60,0,0,0,,Rost2,accelerometer
52534,2096,112,16176,"2018-10-23 18:44:52",60,0,0,0,,Rost2,accelerometer
52535,2144,160,16192,"2018-10-23 18:44:53",60,0,0,0,,Rost2,accelerometer
52536,2128,128,16192,"2018-10-23 18:44:53",60,0,0,0,,Rost2,accelerometer
52537,2160,128,16224,"2018-10-23 18:44:53",60,0,0,0,,Rost2,accelerometer
52538,2224,96,16224,"2018-10-23 18:44:53",60,0,0,0,,Rost2,accelerometer
52539,2160,112,16144,"2018-10-23 18:44:53",60,0,0,0,,Rost2,accelerometer
52540,2208,112,16208,"2018-10-23 18:44:53",60,0,0,0,,Rost2,accelerometer
52541,2208,112,16144,"2018-10-23 18:44:53",60,0,0,0,,Rost2,accelerometer
52542,2160,144,16240,"2018-10-23 18:44:53",60,0,0,0,,Rost2,accelerometer
52543,2240,112,16208,"2018-10-23 18:44:53",60,0,0,0,,Rost2,accelerometer
52544,2160,64,16208,"2018-10-23 18:44:53",60,0,0,0,,Rost2,accelerometer
52545,2208,96,16192,"2018-10-23 18:44:54",60,0,0,0,,Rost2,accelerometer
52546,2224,112,16176,"2018-10-23 18:44:54",60,0,0,0,,Rost2,accelerometer
52547,2192,96,16224,"2018-10-23 18:44:54",60,0,0,0,,Rost2,accelerometer
52548,2176,112,16208,"2018-10-23 18:44:54",60,0,0,0,,Rost2,accelerometer
52549,2192,128,16176,"2018-10-23 18:44:54",60,0,0,0,,Rost2,accelerometer
52550,2176,160,16224,"2018-10-23 18:44:54",60,0,0,0,,Rost2,accelerometer
52551,2208,32,16192,"2018-10-23 18:44:54",60,0,0,0,,Rost2,accelerometer
52552,2208,112,16192,"2018-10-23 18:44:54",60,0,0,0,,Rost2,accelerometer
52553,2256,0,16208,"2018-10-23 18:44:54",60,0,0,0,,Rost2,accelerometer
52554,2224,48,16144,"2018-10-23 18:44:55",60,0,0,0,,Rost2,accelerometer
52555,2144,32,16192,"2018-10-23 18:44:55",60,0,0,0,,Rost2,accelerometer
52556,2224,80,16192,"2018-10-23 18:44:55",60,0,0,0,,Rost2,accelerometer
52557,2256,48,16192,"2018-10-23 18:44:55",60,0,0,0,,Rost2,accelerometer
52558,2128,32,16192,"2018-10-23 18:44:55",60,0,0,0,,Rost2,accelerometer
52559,2096,32,16208,"2018-10-23 18:44:55",60,0,0,0,,Rost2,accelerometer
52560,2208,16,16192,"2018-10-23 18:44:55",60,0,0,0,,Rost2,accelerometer
52561,2256,48,16160,"2018-10-23 18:44:55",60,0,0,0,,Rost2,accelerometer
52562,2176,16,16240,"2018-10-23 18:44:55",60,0,0,0,,Rost2,accelerometer
52563,2192,32,16192,"2018-10-23 18:44:55",60,0,0,0,,Rost2,accelerometer
52564,2064,176,16256,"2018-10-23 18:44:56",60,0,0,0,,Rost2,accelerometer
52565,2176,64,16128,"2018-10-23 18:44:56",60,0,0,0,,Rost2,accelerometer
52566,2064,176,16256,"2018-10-23 18:44:56",60,0,0,0,,Rost2,accelerometer
52567,2240,-80,16256,"2018-10-23 18:44:56",60,0,0,0,,Rost2,accelerometer
52568,2208,256,16160,"2018-10-23 18:44:56",60,0,0,0,,Rost2,accelerometer
52569,2672,432,16448,"2018-10-23 18:44:56",60,0,0,0,,Rost2,accelerometer
52570,2448,32,16448,"2018-10-23 18:44:56",60,0,0,0,,Rost2,accelerometer
52571,2112,-32,16208,"2018-10-23 18:44:56",60,0,0,0,,Rost2,accelerometer
52572,2224,48,16192,"2018-10-23 18:44:56",60,0,0,0,,Rost2,accelerometer
52573,2096,176,16240,"2018-10-23 18:44:56",60,0,0,0,,Rost2,accelerometer
52574,2144,48,16208,"2018-10-23 18:44:57",60,0,0,0,,Rost2,accelerometer
52575,2032,80,16144,"2018-10-23 18:44:57",60,0,0,0,,Rost2,accelerometer
52576,2128,64,16208,"2018-10-23 18:44:57",60,0,0,0,,Rost2,accelerometer
52577,2224,96,16208,"2018-10-23 18:44:57",60,0,0,0,,Rost2,accelerometer
52578,2112,160,16176,"2018-10-23 18:44:57",60,0,0,0,,Rost2,accelerometer
52579,2160,48,16144,"2018-10-23 18:44:57",60,0,0,0,,Rost2,accelerometer
52580,2192,64,16192,"2018-10-23 18:44:57",60,0,0,0,,Rost2,accelerometer
52581,2224,16,16176,"2018-10-23 18:44:57",60,0,0,0,,Rost2,accelerometer
52582,2224,96,16208,"2018-10-23 18:44:57",60,0,0,0,,Rost2,accelerometer
52583,2144,176,16256,"2018-10-23 18:44:57",60,0,0,0,,Rost2,accelerometer
52584,2224,112,16256,"2018-10-23 18:44:58",60,0,0,0,,Rost2,accelerometer
52585,2192,160,16176,"2018-10-23 18:44:58",60,0,0,0,,Rost2,accelerometer
52586,2224,96,16176,"2018-10-23 18:44:58",60,0,0,0,,Rost2,accelerometer
52587,2048,240,16208,"2018-10-23 18:44:58",60,0,0,0,,Rost2,accelerometer
52588,2128,96,16144,"2018-10-23 18:44:58",60,0,0,0,,Rost2,accelerometer
52589,2176,112,16160,"2018-10-23 18:44:58",60,0,0,0,,Rost2,accelerometer
52590,2176,192,16176,"2018-10-23 18:44:58",60,0,0,0,,Rost2,accelerometer
52591,2080,224,16160,"2018-10-23 18:44:58",60,0,0,0,,Rost2,accelerometer
52592,2192,96,16208,"2018-10-23 18:44:58",60,0,0,0,,Rost2,accelerometer
52593,2080,224,16208,"2018-10-23 18:44:59",60,0,0,0,,Rost2,accelerometer
52594,2096,208,16192,"2018-10-23 18:44:59",60,0,0,0,,Rost2,accelerometer
52595,2192,176,16272,"2018-10-23 18:44:59",60,0,0,0,,Rost2,accelerometer
52596,2032,160,16224,"2018-10-23 18:44:59",60,0,0,0,,Rost2,accelerometer
52597,2192,64,16208,"2018-10-23 18:44:59",60,0,0,0,,Rost2,accelerometer
52598,2288,160,16144,"2018-10-23 18:44:59",60,0,0,0,,Rost2,accelerometer
52599,2064,128,16224,"2018-10-23 18:44:59",60,0,0,0,,Rost2,accelerometer
52600,2112,128,16256,"2018-10-23 18:44:59",60,0,0,0,,Rost2,accelerometer
52601,2112,224,16208,"2018-10-23 18:44:59",60,0,0,0,,Rost2,accelerometer
52602,1968,384,16208,"2018-10-23 18:44:59",60,0,0,0,,Rost2,accelerometer
52603,2560,-480,16064,"2018-10-23 18:45:00",60,0,0,0,,Rost2,accelerometer
52604,2208,64,16224,"2018-10-23 18:45:00",60,0,0,0,,Rost2,accelerometer
52605,2304,-160,16256,"2018-10-23 18:45:00",60,0,0,0,,Rost2,accelerometer
52606,2272,48,16176,"2018-10-23 18:45:00",60,0,0,0,,Rost2,accelerometer
52607,2224,48,16192,"2018-10-23 18:45:00",60,0,0,0,,Rost2,accelerometer
52608,2256,16,16272,"2018-10-23 18:45:00",60,0,0,0,,Rost2,accelerometer
52609,2096,48,16256,"2018-10-23 18:45:00",60,0,0,0,,Rost2,accelerometer
52610,2144,32,16112,"2018-10-23 18:45:00",60,0,0,0,,Rost2,accelerometer
52611,2096,-16,16240,"2018-10-23 18:45:00",60,0,0,0,,Rost2,accelerometer
52612,2096,64,16256,"2018-10-23 18:45:00",60,0,0,0,,Rost2,accelerometer
52613,2368,96,16208,"2018-10-23 18:45:01",60,0,0,0,,Rost2,accelerometer
52614,2224,208,16144,"2018-10-23 18:45:01",60,0,0,0,,Rost2,accelerometer
52615,2176,144,16336,"2018-10-23 18:45:01",60,0,0,0,,Rost2,accelerometer
52616,2176,176,16208,"2018-10-23 18:45:01",60,0,0,0,,Rost2,accelerometer
52617,2240,160,16128,"2018-10-23 18:45:01",60,0,0,0,,Rost2,accelerometer
52618,2288,-16,16176,"2018-10-23 18:45:01",60,0,0,0,,Rost2,accelerometer
52619,2208,96,16208,"2018-10-23 18:45:01",60,0,0,0,,Rost2,accelerometer
52620,2128,192,16240,"2018-10-23 18:45:01",60,0,0,0,,Rost2,accelerometer
52621,2240,992,16144,"2018-10-23 18:45:03",60,0,0,0,,Rost2,accelerometer
52622,2288,848,16160,"2018-10-23 18:45:03",60,0,0,0,,Rost2,accelerometer
52623,2336,992,16096,"2018-10-23 18:45:03",60,0,0,0,,Rost2,accelerometer
52624,2368,880,16144,"2018-10-23 18:45:03",60,0,0,0,,Rost2,accelerometer
52625,2448,688,16256,"2018-10-23 18:45:03",60,0,0,0,,Rost2,accelerometer
52626,2368,848,16192,"2018-10-23 18:45:03",60,0,0,0,,Rost2,accelerometer
52627,2448,880,16160,"2018-10-23 18:45:04",60,0,0,0,,Rost2,accelerometer
52628,2432,912,16160,"2018-10-23 18:45:04",60,0,0,0,,Rost2,accelerometer
52629,2320,1056,16112,"2018-10-23 18:45:04",60,0,0,0,,Rost2,accelerometer
52630,2400,1024,16112,"2018-10-23 18:45:04",60,0,0,0,,Rost2,accelerometer
52631,2480,896,16128,"2018-10-23 18:45:04",60,0,0,0,,Rost2,accelerometer
52632,2624,880,16112,"2018-10-23 18:45:04",60,0,0,0,,Rost2,accelerometer
52633,2208,1040,16128,"2018-10-23 18:45:04",60,0,0,0,,Rost2,accelerometer
52634,2512,944,16160,"2018-10-23 18:45:04",60,0,0,0,,Rost2,accelerometer
52635,2016,1136,16144,"2018-10-23 18:45:04",60,0,0,0,,Rost2,accelerometer
52636,2304,1056,16256,"2018-10-23 18:45:05",60,0,0,0,,Rost2,accelerometer
52637,2368,976,16144,"2018-10-23 18:45:05",60,0,0,0,,Rost2,accelerometer
52638,2240,1136,16144,"2018-10-23 18:45:05",60,0,0,0,,Rost2,accelerometer
52639,2368,1040,16128,"2018-10-23 18:45:05",60,0,0,0,,Rost2,accelerometer
52640,2416,1056,16064,"2018-10-23 18:45:05",60,0,0,0,,Rost2,accelerometer
52641,2304,1072,16144,"2018-10-23 18:45:05",60,0,0,0,,Rost2,accelerometer
52642,2352,1088,16128,"2018-10-23 18:45:05",60,0,0,0,,Rost2,accelerometer
52643,2416,1120,16160,"2018-10-23 18:45:05",60,0,0,0,,Rost2,accelerometer
52644,2496,992,16144,"2018-10-23 18:45:05",60,0,0,0,,Rost2,accelerometer
52645,2352,1088,16128,"2018-10-23 18:45:05",60,0,0,0,,Rost2,accelerometer
52646,2368,1072,16112,"2018-10-23 18:45:06",60,0,0,0,,Rost2,accelerometer
52647,2432,1056,16128,"2018-10-23 18:45:06",60,0,0,0,,Rost2,accelerometer
52648,2400,976,16128,"2018-10-23 18:45:06",60,0,0,0,,Rost2,accelerometer
52649,2352,1056,16176,"2018-10-23 18:45:06",60,0,0,0,,Rost2,accelerometer
52650,2496,1040,16112,"2018-10-23 18:45:06",60,0,0,0,,Rost2,accelerometer
52651,2496,1024,16096,"2018-10-23 18:45:06",60,0,0,0,,Rost2,accelerometer
52652,2592,976,16128,"2018-10-23 18:45:06",60,0,0,0,,Rost2,accelerometer
52653,2512,1024,16080,"2018-10-23 18:45:06",60,0,0,0,,Rost2,accelerometer
52654,2544,976,16144,"2018-10-23 18:45:06",60,0,0,0,,Rost2,accelerometer
52655,2480,1008,16096,"2018-10-23 18:45:06",60,0,0,0,,Rost2,accelerometer
52656,2608,960,16144,"2018-10-23 18:45:07",60,0,0,0,,Rost2,accelerometer
52657,2576,960,16176,"2018-10-23 18:45:07",60,0,0,0,,Rost2,accelerometer
52658,2464,1072,16144,"2018-10-23 18:45:07",60,0,0,0,,Rost2,accelerometer
52659,2560,1024,16144,"2018-10-23 18:45:07",60,0,0,0,,Rost2,accelerometer
52660,2704,864,16112,"2018-10-23 18:45:07",60,0,0,0,,Rost2,accelerometer
52661,2656,1008,16096,"2018-10-23 18:45:07",60,0,0,0,,Rost2,accelerometer
52662,2608,976,16096,"2018-10-23 18:45:07",60,0,0,0,,Rost2,accelerometer
52663,2432,1056,16192,"2018-10-23 18:45:07",60,0,0,0,,Rost2,accelerometer
52664,2432,992,16144,"2018-10-23 18:45:07",60,0,0,0,,Rost2,accelerometer
52665,2352,1024,16192,"2018-10-23 18:45:07",60,0,0,0,,Rost2,accelerometer
52666,2512,1024,16096,"2018-10-23 18:45:08",60,0,0,0,,Rost2,accelerometer
52667,2480,1072,16112,"2018-10-23 18:45:08",60,0,0,0,,Rost2,accelerometer
52668,2432,1088,16096,"2018-10-23 18:45:08",60,0,0,0,,Rost2,accelerometer
52669,2448,1056,16128,"2018-10-23 18:45:08",60,0,0,0,,Rost2,accelerometer
52670,2448,1024,16192,"2018-10-23 18:45:08",60,0,0,0,,Rost2,accelerometer
52671,2480,1056,16112,"2018-10-23 18:45:08",60,0,0,0,,Rost2,accelerometer
52672,2448,1072,16144,"2018-10-23 18:45:08",60,0,0,0,,Rost2,accelerometer
52673,2432,1152,16048,"2018-10-23 18:45:08",60,0,0,0,,Rost2,accelerometer
52674,2384,1056,16144,"2018-10-23 18:45:08",60,0,0,0,,Rost2,accelerometer
52675,2352,1088,16160,"2018-10-23 18:45:09",60,0,0,0,,Rost2,accelerometer
52676,2400,1072,16128,"2018-10-23 18:45:09",60,0,0,0,,Rost2,accelerometer
52677,2320,1168,16128,"2018-10-23 18:45:09",60,0,0,0,,Rost2,accelerometer
52678,2336,1024,16144,"2018-10-23 18:45:09",60,0,0,0,,Rost2,accelerometer
52679,2448,992,16096,"2018-10-23 18:45:09",60,0,0,0,,Rost2,accelerometer
