id,date_created,label,meta_info,people_id,type_sensor,x,y,z
10581,"2018-10-19 17:13:10","work, talking, tired, angry",,nastya,magnetometer,-752,-6212,5275
10582,"2018-10-19 17:13:10","work, talking, tired, angry",,nastya,magnetometer,-827,-6254,5312
10583,"2018-10-19 17:13:11","work, talking, tired, angry",,nastya,magnetometer,-827,-6281,5312
10584,"2018-10-19 17:13:11","work, talking, tired, angry",,nastya,magnetometer,-804,-6278,5329
10585,"2018-10-19 17:13:12","work, talking, tired, angry",,nastya,magnetometer,-803,-6262,5343
10586,"2018-10-19 17:13:12","work, talking, tired, angry",,nastya,magnetometer,-801,-6258,5308
10587,"2018-10-19 17:13:13","work, talking, tired, angry",,nastya,magnetometer,-775,-6288,5323
10588,"2018-10-19 17:13:13","work, talking, tired, angry",,nastya,magnetometer,-804,-6263,5270
10589,"2018-10-19 17:13:14","work, talking, tired, angry",,nastya,magnetometer,-782,-6262,5302
10590,"2018-10-19 17:13:14","work, talking, tired, angry",,nastya,magnetometer,-830,-6265,5333
10591,"2018-10-19 17:13:15","work, talking, tired, angry",,nastya,magnetometer,-808,-6248,5266
10592,"2018-10-19 17:13:15","work, talking, tired, angry",,nastya,magnetometer,-775,-6287,5294
10593,"2018-10-19 17:13:16","work, talking, tired, angry",,nastya,magnetometer,-785,-6260,5281
10594,"2018-10-19 17:13:16","work, talking, tired, angry",,nastya,magnetometer,-799,-6277,5273
10595,"2018-10-19 17:13:17","work, talking, tired, angry",,nastya,magnetometer,-792,-6270,5317
10596,"2018-10-19 17:13:17","work, talking, tired, angry",,nastya,magnetometer,-822,-6279,5312
10597,"2018-10-19 17:13:18","work, talking, tired, angry",,nastya,magnetometer,-788,-6307,5346
10598,"2018-10-19 17:13:18","work, talking, tired, angry",,nastya,magnetometer,-808,-6281,5328
10599,"2018-10-19 17:13:19","work, talking, tired, angry",,nastya,magnetometer,-816,-6304,5340
10600,"2018-10-19 17:13:19","work, talking, tired, angry",,nastya,magnetometer,-789,-6290,5300
10601,"2018-10-19 17:13:21","work, talking, tired, angry",,nastya,magnetometer,-778,-6313,5292
10602,"2018-10-19 17:13:21","work, talking, tired, angry",,nastya,magnetometer,-811,-6315,5265
10603,"2018-10-19 17:13:22","work, talking, tired, angry",,nastya,magnetometer,-819,-6295,5235
10604,"2018-10-19 17:13:22","work, talking, tired, angry",,nastya,magnetometer,-801,-6292,5273
10605,"2018-10-19 17:13:23","work, talking, tired, angry",,nastya,magnetometer,-804,-6291,5318
10606,"2018-10-19 17:13:23","work, talking, tired, angry",,nastya,magnetometer,-830,-6322,5275
10607,"2018-10-19 17:13:24","work, talking, tired, angry",,nastya,magnetometer,-835,-6303,5304
10608,"2018-10-19 17:13:24","work, talking, tired, angry",,nastya,magnetometer,-823,-6312,5302
10609,"2018-10-19 17:13:25","work, talking, tired, angry",,nastya,magnetometer,-823,-6297,5271
10610,"2018-10-19 17:13:25","work, talking, tired, angry",,nastya,magnetometer,-831,-6300,5302
10611,"2018-10-19 17:13:26","work, talking, tired, angry",,nastya,magnetometer,-779,-6265,5328
10612,"2018-10-19 17:13:26","work, talking, tired, angry",,nastya,magnetometer,-792,-6307,5257
10613,"2018-10-19 17:13:27","work, talking, tired, angry",,nastya,magnetometer,-818,-6276,5234
10614,"2018-10-19 17:13:27","work, talking, tired, angry",,nastya,magnetometer,-801,-6265,5225
10615,"2018-10-19 17:13:28","work, talking, tired, angry",,nastya,magnetometer,-829,-6299,5286
10616,"2018-10-19 17:13:28","work, talking, tired, angry",,nastya,magnetometer,-795,-6267,5261
10617,"2018-10-19 17:13:29","work, talking, tired, angry",,nastya,magnetometer,-745,-6312,5250
10618,"2018-10-19 17:13:29","work, talking, tired, angry",,nastya,magnetometer,-759,-6301,5277
10619,"2018-10-19 17:13:30","work, talking, tired, angry",,nastya,magnetometer,-791,-6290,5301
10620,"2018-10-19 17:13:30","work, talking, tired, angry",,nastya,magnetometer,-790,-6284,5264
10621,"2018-10-19 17:13:32","work, talking, tired, angry",,nastya,magnetometer,-770,-6286,5238
10622,"2018-10-19 17:13:32","work, talking, tired, angry",,nastya,magnetometer,-710,-6348,5119
10623,"2018-10-19 17:13:33","work, talking, tired, angry",,nastya,magnetometer,-643,-6544,5018
10624,"2018-10-19 17:13:33","work, talking, tired, angry",,nastya,magnetometer,-545,-6809,4998
10625,"2018-10-19 17:13:34","work, talking, tired, angry",,nastya,magnetometer,-545,-6754,4985
10626,"2018-10-19 17:13:34","work, talking, tired, angry",,nastya,magnetometer,-522,-6733,4982
10627,"2018-10-19 17:13:35","work, talking, tired, angry",,nastya,magnetometer,-519,-6875,4971
10628,"2018-10-19 17:13:35","work, talking, tired, angry",,nastya,magnetometer,-436,-7014,5024
10629,"2018-10-19 17:13:36","work, talking, tired, angry",,nastya,magnetometer,-486,-6822,4946
10630,"2018-10-19 17:13:36","work, talking, tired, angry",,nastya,magnetometer,-717,-6624,5055
10631,"2018-10-19 17:13:37","work, talking, tired, angry",,nastya,magnetometer,-731,-6750,4919
10632,"2018-10-19 17:13:37","work, talking, tired, angry",,nastya,magnetometer,-658,-6990,4847
10633,"2018-10-19 17:13:38","work, talking, tired, angry",,nastya,magnetometer,-630,-6973,4886
10634,"2018-10-19 17:13:38","work, talking, tired, angry",,nastya,magnetometer,-628,-6810,4948
